id,type,cost,weather_dpendence,pet_friendly,time_open,time_close,movie_genre,music_genre,hike_difficulty,cusine_type
1,movie,10,FALSE,FALSE,3:24 AM,7:15 AM,Thriller,,,
2,movie,9,FALSE,FALSE,7:43 PM,1:31 AM,Thriller,,,
3,movie,8,FALSE,FALSE,3:01 AM,1:07 PM,Thriller,,,
4,movie,9,FALSE,FALSE,9:13 AM,9:32 AM,Action,,,
5,movie,10,FALSE,FALSE,9:22 AM,1:44 AM,Drama,,,
6,movie,8,FALSE,FALSE,3:52 AM,6:06 PM,Drama,,,
7,movie,9,FALSE,FALSE,4:03 AM,11:43 AM,Thriller,,,
8,movie,11,FALSE,FALSE,12:50 AM,2:19 AM,Action,,,
9,movie,11,FALSE,FALSE,1:51 AM,6:28 PM,Drama,,,
10,movie,9,FALSE,FALSE,5:50 PM,5:07 AM,Action,,,
11,movie,9,FALSE,FALSE,9:09 AM,7:32 AM,Thriller,,,
12,movie,8,FALSE,FALSE,4:55 AM,2:55 PM,Thriller,,,
13,movie,10,FALSE,FALSE,7:19 AM,9:14 PM,Action,,,
14,movie,7,FALSE,FALSE,2:33 PM,7:09 AM,Thriller,,,
15,movie,13,FALSE,FALSE,7:28 PM,10:32 AM,Action,,,
16,movie,10,FALSE,FALSE,5:36 PM,1:37 PM,Thriller,,,
17,movie,9,FALSE,FALSE,5:44 PM,11:38 PM,Drama,,,
18,movie,10,FALSE,FALSE,1:32 AM,10:59 AM,Comedy,,,
19,movie,8,FALSE,FALSE,9:03 AM,3:50 PM,Action,,,
20,movie,8,FALSE,FALSE,8:19 AM,1:02 PM,Thriller,,,
21,movie,13,FALSE,FALSE,10:34 AM,7:10 PM,Comedy,,,
22,movie,9,FALSE,FALSE,10:38 AM,11:44 AM,Action,,,
23,movie,11,FALSE,FALSE,11:29 PM,9:28 PM,Comedy,,,
24,movie,10,FALSE,FALSE,5:36 PM,12:55 PM,Drama,,,
25,movie,10,FALSE,FALSE,7:20 PM,6:14 PM,Action,,,
26,movie,10,FALSE,FALSE,8:49 AM,7:05 AM,Action,,,
27,movie,9,FALSE,FALSE,4:57 PM,11:01 AM,Drama,,,
28,movie,12,FALSE,FALSE,5:25 PM,2:22 AM,Action,,,
29,movie,9,FALSE,FALSE,7:39 AM,8:34 PM,Comedy,,,
30,movie,13,FALSE,FALSE,2:30 PM,12:21 PM,Drama,,,
31,movie,12,FALSE,FALSE,2:49 PM,9:40 AM,Thriller,,,
32,movie,11,FALSE,FALSE,6:51 AM,6:52 PM,Action,,,
33,movie,11,FALSE,FALSE,3:18 PM,4:35 PM,Thriller,,,
34,movie,10,FALSE,FALSE,12:45 PM,2:37 PM,Drama,,,
35,movie,9,FALSE,FALSE,12:36 AM,7:49 AM,Comedy,,,
36,movie,10,FALSE,FALSE,7:35 AM,8:17 PM,Comedy,,,
37,movie,8,FALSE,FALSE,3:21 AM,7:02 PM,Thriller,,,
38,movie,13,FALSE,FALSE,1:21 PM,7:34 PM,Thriller,,,
39,movie,7,FALSE,FALSE,7:52 AM,1:30 PM,Drama,,,
40,movie,10,FALSE,FALSE,5:13 AM,9:53 AM,Comedy,,,
41,movie,7,FALSE,FALSE,10:19 AM,1:58 AM,Drama,,,
42,movie,16,FALSE,FALSE,12:36 PM,12:46 AM,Thriller,,,
43,movie,6,FALSE,FALSE,6:22 PM,12:22 PM,Action,,,
44,movie,8,FALSE,FALSE,2:25 PM,1:22 AM,Thriller,,,
45,movie,13,FALSE,FALSE,8:50 PM,8:18 AM,Comedy,,,
46,movie,9,FALSE,FALSE,11:56 AM,8:02 AM,Action,,,
47,movie,10,FALSE,FALSE,4:25 PM,4:12 AM,Thriller,,,
48,movie,10,FALSE,FALSE,7:41 AM,9:39 AM,Action,,,
49,movie,11,FALSE,FALSE,11:13 AM,4:21 PM,Thriller,,,
50,movie,10,FALSE,FALSE,2:29 PM,5:25 PM,Drama,,,
51,movie,10,FALSE,FALSE,5:48 AM,4:24 PM,Comedy,,,
52,movie,11,FALSE,FALSE,12:33 AM,6:55 AM,Drama,,,
53,movie,8,FALSE,FALSE,6:56 PM,3:18 PM,Action,,,
54,movie,8,FALSE,FALSE,9:28 AM,11:14 AM,Drama,,,
55,movie,10,FALSE,FALSE,8:57 PM,7:05 AM,Drama,,,
56,movie,9,FALSE,FALSE,10:14 AM,8:33 AM,Drama,,,
57,movie,7,FALSE,FALSE,4:54 PM,7:42 AM,Action,,,
58,movie,8,FALSE,FALSE,1:11 PM,10:57 AM,Drama,,,
59,movie,6,FALSE,FALSE,9:20 AM,11:11 AM,Action,,,
60,movie,11,FALSE,FALSE,7:46 AM,1:15 PM,Action,,,
61,movie,8,FALSE,FALSE,7:38 AM,1:41 PM,Drama,,,
62,movie,6,FALSE,FALSE,8:52 PM,2:37 AM,Comedy,,,
63,movie,10,FALSE,FALSE,1:34 AM,12:16 PM,Action,,,
64,movie,9,FALSE,FALSE,11:52 AM,1:47 AM,Thriller,,,
65,movie,10,FALSE,FALSE,9:37 PM,2:27 AM,Action,,,
66,movie,10,FALSE,FALSE,11:00 PM,5:43 PM,Action,,,
67,movie,10,FALSE,FALSE,1:55 AM,5:07 AM,Comedy,,,
68,movie,10,FALSE,FALSE,4:06 PM,7:49 PM,Comedy,,,
69,movie,10,FALSE,FALSE,8:31 AM,5:56 AM,Drama,,,
70,movie,7,FALSE,FALSE,3:01 PM,8:57 AM,Action,,,
71,movie,9,FALSE,FALSE,10:20 AM,12:31 AM,Thriller,,,
72,movie,8,FALSE,FALSE,4:31 AM,11:19 AM,Thriller,,,
73,movie,10,FALSE,FALSE,6:10 PM,3:20 PM,Action,,,
74,movie,11,FALSE,FALSE,3:53 AM,10:12 AM,Comedy,,,
75,movie,7,FALSE,FALSE,4:42 PM,11:30 AM,Drama,,,
76,movie,9,FALSE,FALSE,11:29 AM,3:00 PM,Comedy,,,
